go_version,dragonfly_revision,mayfly_revision,cma_es_revision,benchmark,dimensions,budget,base_seed,optimizer,rank,run,seed,best_cost,function_evaluations,iterations,execution_seconds
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,16,20260842,7.953131988641986e-05,20000,322,0.036652552
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,17,20260843,0.00040582879883063077,20000,322,0.04155755
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,18,20260844,0.00017605144176346762,20000,322,0.039551341
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,19,20260845,0.0008691661073876132,20000,322,0.023333488
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,20,20260846,2.2424990682560808e-05,20000,322,0.018980939
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,21,20260847,7.926463504088414e-06,20000,322,0.034658845
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,22,20260848,9.836084850492706e-05,20000,322,0.019424924
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,23,20260849,0.00024568222878120416,20000,322,0.048020792
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,24,20260850,7.429418876793304e-05,20000,322,0.041336571
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,25,20260851,1.2591774061675658e-05,20000,322,0.042271823
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,26,20260852,8.800709766898096e-06,20000,322,0.038063987
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,27,20260853,0.00011410556677353992,20000,322,0.046362605
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,28,20260854,9.806085121405252e-06,20000,322,0.018334832
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,29,20260855,7.345024276121733e-05,20000,322,0.029860844
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,MA,2,30,20260856,1.0559232186804295e-05,20000,322,0.019219938
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,1,20260827,5.7705783023259435e-28,20000,1429,2.186806282
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,2,20260828,8.609955573706579e-28,20000,1429,1.7758068740000001
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,3,20260829,1.2245652377231765e-27,20000,1429,1.917204717
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,4,20260830,2.4317022225485196e-29,20000,1429,1.742648164
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,5,20260831,1.4733164706765982e-24,20000,1429,1.795637511
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,6,20260832,1.4837063620909493e-26,20000,1429,2.068430278
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,7,20260833,3.1172737635201164e-28,20000,1429,1.9790940780000001
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,8,20260834,3.0731083230209205e-29,20000,1429,1.743330236
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,9,20260835,2.3343877494784875e-27,20000,1429,1.704229027
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,10,20260836,2.461576553364424e-27,20000,1429,1.791620758
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,11,20260837,9.953287199987502e-27,20000,1429,1.737594887
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,12,20260838,1.136605026136529e-25,20000,1429,1.816710839
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,13,20260839,6.144670402624538e-29,20000,1429,1.843987043
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,14,20260840,3.766798616166018e-30,20000,1429,1.8931910969999999
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,15,20260841,2.809703001368362e-29,20000,1429,1.822430823
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,16,20260842,1.4297320111918913e-28,20000,1429,1.804279675
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,17,20260843,1.7318167081410538e-28,20000,1429,1.8009710540000001
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,18,20260844,4.555562803302375e-26,20000,1429,1.6883284650000001
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,19,20260845,2.0212808721076024e-26,20000,1429,1.829654992
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,20,20260846,4.1866803458795754e-30,20000,1429,1.731468284
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,21,20260847,2.264660674680544e-44,20000,1429,1.776300303
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,22,20260848,1.5700854894951543e-28,20000,1429,1.913665397
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,23,20260849,7.209469869162962e-29,20000,1429,1.834691851
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,24,20260850,1.151665221817999e-29,20000,1429,1.916808702
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,25,20260851,4.8448048240060637e-29,20000,1429,1.949141321
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,26,20260852,8.165905388577557e-27,20000,1429,1.820344715
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,27,20260853,1.13462848143612e-27,20000,1429,1.813767002
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,28,20260854,1.5222789688459066e-28,20000,1429,1.918641493
go1.26.0,a7ed28495fb02c8b04d75e9bf849bf4b0ad04928,3a165fe7ccb3b525bbd3fd8474c5b0d3118f8d73,eafd9b2119b9a7e144a53a4236e0513518efe7c6,Sphere,30,20000,20260827,CMA-ES,1,29,20260855,3.9052030380205508e-28,20000,1429,2.06151474
